status	SUGGESTED_LANG	file_line	foreign_text	note_context
ambiguous	san-Latn?	638	-ṇv-	The cluster -ṇv- is most probably a corrupt for -ṇṭ-.
ambiguous	san-Latn?	638	-ṇṭ-	The cluster -ṇv- is most probably a corrupt for -ṇṭ-.
ambiguous	kaw-Latn?	641	sahana	The reading from  is not chosen due to the word sahana uses the n dental instead of ṇ retroflex.
ambiguous	kaw-Latn?	641	n	The reading from  is not chosen due to the word sahana uses the n dental instead of ṇ retroflex.
ambiguous	kaw-Latn?	641	ṇ	The reading from  is not chosen due to the word sahana uses the n dental instead of ṇ retroflex.
ambiguous	kaw-Latn?	819	śatā	Should the reading śatā from the  be taken?
ambiguous	san-Latn?	874	ṣaṇḍa	Perhaps LC was silently emending the word ṣaṇḍa, or perhaps he was simply misreading .
ambiguous	san-Latn?	1207	lvirniṅ chanda ta ṅaranya	The absence of this line in the  suggests that the scribe may have regarded the phrase lvirniṅ chanda ta ṅaranya as the 
ambiguous	san-Latn?	1207	pāda ṅaranya sakaṇḍa	The absence of this line in the  suggests that the scribe may have regarded the phrase lvirniṅ chanda ta ṅaranya as the 
ambiguous	san-Latn?	1380	vahi rat	The name vahi rat or vahiṅ rat has already been mentioned in [25], so that keeping its mention here is unnecessary.
ambiguous	san-Latn?	1380	vahiṅ rat	The name vahi rat or vahiṅ rat has already been mentioned in [25], so that keeping its mention here is unnecessary.
ambiguous	kaw-Latn?	1381	bhujaṅga	LC's conjectural restoration of bhujaṅgavijr̥mbhita relies on a fragmentary reading, bhujaṅga, in . In contrast, I consi
ambiguous	san-Latn?	1532	kleśa lvaṅ	LC has editorially misplaced the lacuna marker, placing it after the phrase kleśa lvaṅ instead of before the word pamūja
ambiguous	san-Latn?	1532	pamūjaṅku	LC has editorially misplaced the lacuna marker, placing it after the phrase kleśa lvaṅ instead of before the word pamūja
ambiguous	san-Latn?	1939	bhikṣuka	Based on its pattern, bhikṣuka is clearly the other name of rathoddhata.
ambiguous	san-Latn?	2572	niśśreyasa	It should it be read as niśśreyasa?
ambiguous	kaw-Latn?	2693	pāda	In the following stanzas, particularly from stanza 85 to 96, the first three lines presented are based on the reading fo
ambiguous	san-Latn?	2857	u	Instead of writing vr̥tti, vrətti is preferable here to keep the vowel u in jənu is validated as long syllable.
ambiguous	kaw-Latn?	2969	krūra ... karoha-rohan	I follow the reading of , , and  in which the sentence krūra ... karoha-rohan appears after the conclusion of the navanā
ambiguous	kaw-Latn?	2969	navanāṭya	I follow the reading of , , and  in which the sentence krūra ... karoha-rohan appears after the conclusion of the navanā
ambiguous	kaw-Latn?	2969	rasa	I follow the reading of , , and  in which the sentence krūra ... karoha-rohan appears after the conclusion of the navanā
ambiguous	kaw-Latn?	2969	krūra	I follow the reading of , , and  in which the sentence krūra ... karoha-rohan appears after the conclusion of the navanā
ambiguous	kaw-Latn?	2969	krūra	I follow the reading of , , and  in which the sentence krūra ... karoha-rohan appears after the conclusion of the navanā
ambiguous	kaw-Latn?	2969	navānaṭya	I follow the reading of , , and  in which the sentence krūra ... karoha-rohan appears after the conclusion of the navanā
ambiguous	kaw-Latn?	2985	vimaprabhaṅśa	This conjecture is based on the reading found on , which records vimaprabhaṅśa in the following section, specifically in
ambiguous	kaw-Latn?	2985	chedākṣara	This conjecture is based on the reading found on , which records vimaprabhaṅśa in the following section, specifically in
ambiguous	san-Latn?	3006	tar parasa	The phrase tar parasa is also founded on the Malat 16.70: tar parasa viramaniṅ kətur.
ambiguous	san-Latn?	3006	Malat	The phrase tar parasa is also founded on the Malat 16.70: tar parasa viramaniṅ kətur.
ambiguous	kaw-Latn?	3011	chedākṣara	On folio 20r-20v of , a rather extensive case of dittography appears in the section explaining the types of errors assoc
ambiguous	kaw-Latn?	3011	vimaprabhāṅśa	On folio 20r-20v of , a rather extensive case of dittography appears in the section explaining the types of errors assoc
ambiguous	kaw-Latn?	3011	vimānaprabhaṅga	On folio 20r-20v of , a rather extensive case of dittography appears in the section explaining the types of errors assoc
ambiguous	kaw-Latn?	3011	doṣa	On folio 20r-20v of , a rather extensive case of dittography appears in the section explaining the types of errors assoc
ambiguous	kaw-Latn?	3013	pa	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3013	r̥	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3013	r̥	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3013	pangkon	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3013	r̥	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3013	r̥	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3013	r	There is a copying misunderstanding recorded in the  by its copyist (or perhaps by previous copyists) by writing consona
ambiguous	kaw-Latn?	3014	okāra	It looks like that these are examples of words or wordings that are meaningless or ambiguous, so an editorial approach s
ambiguous	kaw-Latn?	3014	oṅkāra	It looks like that these are examples of words or wordings that are meaningless or ambiguous, so an editorial approach s
ambiguous	kaw-Latn?	3058	bhaṅga	LC misreads bhaṅga in  as jaṅga.
ambiguous	kaw-Latn?	3058	jaṅga	LC misreads bhaṅga in  as jaṅga.
ambiguous	kaw-Latn?	3061	taruṅ	With regard to the reading in , the scribe or perhaps a predecessor has misunderstood the taruṅ sign as paṅkon.
ambiguous	kaw-Latn?	3061	paṅkon	With regard to the reading in , the scribe or perhaps a predecessor has misunderstood the taruṅ sign as paṅkon.
ambiguous	san-Latn?	3095	siddhyālobha	Should be emended as siddhyālobha?
ambiguous	san-Latn?	3095	hinalpa	All sources consider hinalpa as the passive form from halpa.
ambiguous	san-Latn?	3095	halpa	All sources consider hinalpa as the passive form from halpa.
ambiguous	san-Latn?	3121	svargasthām	The form svargasthām is uncommon in OJ. It could be svargasthān, but the next word, pəjaha which is started by consonant
ambiguous	san-Latn?	3121	svargasthān	The form svargasthām is uncommon in OJ. It could be svargasthān, but the next word, pəjaha which is started by consonant
ambiguous	kaw-Latn?	3121	pa	The form svargasthām is uncommon in OJ. It could be svargasthān, but the next word, pəjaha which is started by consonant
ambiguous	kaw-Latn?	3121	n	The form svargasthām is uncommon in OJ. It could be svargasthān, but the next word, pəjaha which is started by consonant
ambiguous	san-Latn?	3121	svargasthān	The form svargasthām is uncommon in OJ. It could be svargasthān, but the next word, pəjaha which is started by consonant
ambiguous	kaw-Latn?	3121	m	The form svargasthām is uncommon in OJ. It could be svargasthān, but the next word, pəjaha which is started by consonant
ambiguous	kaw-Latn?	3263	la	This conjecture is based on the assumption that in some cases the letter la could be paleographically similar to sa if t
ambiguous	kaw-Latn?	3263	sa	This conjecture is based on the assumption that in some cases the letter la could be paleographically similar to sa if t
ambiguous	san-Latn?	3263	kubdha	This conjecture is based on the assumption that in some cases the letter la could be paleographically similar to sa if t
ambiguous	san-Latn?	3294	gaṇa	This reading is still doubtful, as it is unusual to put gaṇa in passive form. It might be from base-word gān, but in any
ambiguous	san-Latn?	3294	gān	This reading is still doubtful, as it is unusual to put gaṇa in passive form. It might be from base-word gān, but in any
ambiguous	kaw-Latn?	3294	-a	This reading is still doubtful, as it is unusual to put gaṇa in passive form. It might be from base-word gān, but in any
ambiguous	kaw-Latn?	3294	-in-	This reading is still doubtful, as it is unusual to put gaṇa in passive form. It might be from base-word gān, but in any
ambiguous	san-Latn?	3396	pāda	The suggested emendation by LC continues to render this pāda unmetrical.
ambiguous	san-Latn?	3528	śarva	Normally, I apply direct normalisation without accounting for sibilant letters as variants. However, given the circumsta
ambiguous	san-Latn?	3528	sarva	Normally, I apply direct normalisation without accounting for sibilant letters as variants. However, given the circumsta
ambiguous	san-Latn?	3528	śarva	Normally, I apply direct normalisation without accounting for sibilant letters as variants. However, given the circumsta
ambiguous	san-Latn?	3528	sarva	Normally, I apply direct normalisation without accounting for sibilant letters as variants. However, given the circumsta
ambiguous	san-Latn?	3614	parameṣṭhī	We can not accept LC's reading since he reads parameṣṭhī as prameṣṭha in  in lacking the vowel i in that word's last cha
ambiguous	san-Latn?	3614	prameṣṭha	We can not accept LC's reading since he reads parameṣṭhī as prameṣṭha in  in lacking the vowel i in that word's last cha
ambiguous	kaw-Latn?	3614	i	We can not accept LC's reading since he reads parameṣṭhī as prameṣṭha in  in lacking the vowel i in that word's last cha
ambiguous	san-Latn?	3614	parameṣṭhī	We can not accept LC's reading since he reads parameṣṭhī as prameṣṭha in  in lacking the vowel i in that word's last cha
ambiguous	san-Latn?	3614	pratiṣṭhita	We can not accept LC's reading since he reads parameṣṭhī as prameṣṭha in  in lacking the vowel i in that word's last cha
ambiguous	san-Latn?	3627	adrija	Synonyms of Umā







parameśvarī, bhavānībhagaṇibhaganī,
bhairavīceravi,
caṇḍī, caṇḍikācaṅgiḥ, śaṅgiḥcaṅgīḥ, śaṅgīcabś
ambiguous	san-Latn?	3627	adraja	Synonyms of Umā







parameśvarī, bhavānībhagaṇibhaganī,
bhairavīceravi,
caṇḍī, caṇḍikācaṅgiḥ, śaṅgiḥcaṅgīḥ, śaṅgīcabś
ambiguous	kaw-Latn?	3646	a	It is highly likely that all Javanese scribes read the letter a as su.
ambiguous	kaw-Latn?	3646	su	It is highly likely that all Javanese scribes read the letter a as su.
ambiguous	san-Latn?	3650	mahiṣamardiṇī	The word mahiṣamardiṇī is LC's silent conjecture.
ambiguous	san-Latn?	3652	aśarīrā	Should it be read aśarīrā?
ambiguous	san-Latn?	3696	viśvasr̥ṭ	In his critical apparatus, LC misreads viśvasr̥ṭ in  as viśvaśr̥k.
ambiguous	san-Latn?	3696	viśvaśr̥k	In his critical apparatus, LC misreads viśvasr̥ṭ in  as viśvaśr̥k.
ambiguous	san-Latn?	3705	viśvaga	Should it be read viśvaga?
ambiguous	san-Latn?	3723	antardahana	Should it be read as antardahana?
ambiguous	san-Latn?	3833	śauri	Should it be read as śauri?
